Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
369,The Amazing Spider-Man,"Action,Adventure","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012,136,7,474320,262.03,66
370,Ben-Hur,"Action,Adventure,Drama","Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",Timur Bekmambetov,"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi",2016,123,5.7,28326,26.38,38
371,Sleight,"Action,Drama,Sci-Fi","A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing, and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »",J.D. Dillard,"Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid",2016,89,6,702,3.85,62
372,The Maze Runner,"Action,Mystery,Sci-Fi","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",2014,113,6.8,335531,102.41,57
373,Criminal,"Action,Crime,Drama","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",Ariel Vromen,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman",2016,113,6.3,38430,14.27,36
374,Wanted,"Action,Crime,Fantasy","A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",Timur Bekmambetov,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",2008,110,6.7,312495,134.57,64
375,Florence Foster Jenkins,"Biography,Comedy,Drama","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",2016,111,6.9,31776,27.37,71
376,Collide,"Action,Crime,Thriller","An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",Eran Creevy,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley",2016,99,5.7,7583,2.2,33
377,Black Mass,"Biography,Crime,Drama","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Scott Cooper,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton",2015,123,6.9,135706,62.56,68
378,Creed,"Drama,Sport","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",2015,133,7.6,175673,109.71,82
379,Swiss Army Man,"Adventure,Comedy,Drama",A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,Dan Kwan,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",2016,97,7.1,61812,4.21,64
380,The Expendables 3,"Action,Adventure,Thriller","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",2014,126,6.1,137568,39.29,35
381,What We Do in the Shadows,"Comedy,Fantasy,Horror","A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too.",Jemaine Clement,"Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh",2014,86,7.6,84016,3.33,76
382,Southpaw,"Drama,Sport",Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.,Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",2015,124,7.4,169083,52.42,57
383,Hush,"Horror,Thriller",A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",2016,81,6.6,45867,,67
384,Bridge of Spies,"Drama,History,Thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",2015,142,7.6,217938,72.31,81
385,The Lego Movie,"Animation,Action,Adventure","An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",Phil Lord,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",2014,100,7.8,266508,257.76,83
386,Everest,"Action,Adventure,Drama","The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",Baltasar Kormákur,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",2015,121,7.1,154647,43.25,64
387,Pixels,"Action,Comedy,Family","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",2015,105,5.6,101092,78.75,27
388,Robin Hood,"Action,Adventure,Drama","In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow",2010,140,6.7,221117,105.22,53
389,The Wolverine,"Action,Adventure,Sci-Fi","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",2013,126,6.7,355362,132.55,60
390,John Carter,"Action,Adventure,Sci-Fi","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton",2012,132,6.6,220667,73.06,51
391,Keanu,"Action,Comedy","When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back.",Peter Atencio,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man",2016,100,6.3,31913,20.57,63
392,The Gunman,"Action,Crime,Drama","A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",2015,115,5.8,31194,10.64,39
393,Steve Jobs,"Biography,Drama","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels",2015,122,7.2,116112,17.75,82
394,Whisky Galore,"Comedy,Romance",Scottish islanders try to plunder cases of whisky from a stranded ship.,Gillies MacKinnon,"Tim Pigott-Smith, Naomi Battrick, Ellie Kendrick,James Cosmo",2016,98,5,102,,43
395,Grown Ups 2,Comedy,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",2013,101,5.4,114482,133.67,19
396,The Age of Adaline,"Drama,Fantasy,Romance","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker",2015,112,7.2,112288,42.48,51
397,The Incredible Hulk,"Action,Adventure,Sci-Fi","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper.",Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,112,6.8,342355,134.52,61
398,Couples Retreat,Comedy,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",2009,113,5.5,86417,109.18,23
399,Absolutely Anything,"Comedy,Sci-Fi","A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment.",Terry Jones,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle",2015,85,6,26587,,31
400,Magic Mike,"Comedy,Drama","A male stripper teaches a younger performer how to party, pick up women, and make easy money.",Steven Soderbergh,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey",2012,110,6.1,113686,113.71,72
401,Minions,"Animation,Action,Adventure","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Kyle Balda,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin",2015,91,6.4,159830,336.03,56
402,The Black Room,Horror,PAUL and JENNIFER HEMDALE have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the ... See full summary »,Rolfe Kanefsky,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain",2016,91,3.9,240,,71
403,Bronson,"Action,Biography,Crime","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",Nicolas Winding Refn,"Tom Hardy, Kelly Adams, Luing Andrews,Katy Barker",2008,92,7.1,93972,0.1,
404,Despicable Me,"Animation,Adventure,Comedy","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",2010,95,7.7,410607,251.5,72
405,The Best of Me,"Drama,Romance",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,Michael Hoffman,"James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato",2014,118,6.7,49041,26.76,29
406,The Invitation,"Drama,Mystery,Thriller","While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.",Karyn Kusama,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard",2015,100,6.7,40529,0.23,74
407,Zero Dark Thirty,"Drama,History,Thriller","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",Kathryn Bigelow,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",2012,157,7.4,226661,95.72,95
408,Tangled,"Animation,Adventure,Comedy","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Nathan Greno,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",2010,100,7.8,316459,200.81,71
409,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi","As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2015,137,6.6,202380,281.67,65
410,Vacation,"Adventure,Comedy","Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons.",John Francis Daley,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins",2015,99,6.1,74589,58.88,34
411,Taken,"Action,Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",2008,93,7.8,502961,145,50
412,Pitch Perfect 2,"Comedy,Music","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",Elizabeth Banks,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow",2015,115,6.5,108306,183.44,63
413,Monsters University,"Animation,Adventure,Comedy",A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",2013,104,7.3,252119,268.49,65
414,Elle,"Crime,Drama,Thriller",A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.,Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling",2016,130,7.2,35417,,89
415,Mechanic: Resurrection,"Action,Adventure,Crime","Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents.",Dennis Gansel,"Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh",2016,98,5.6,48161,21.2,38
416,Tusk,"Comedy,Drama,Horror","When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe, his best friend Teddy and girlfriend Allison team with an ex-cop to look for him.",Kevin Smith,"Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez",2014,102,5.4,34546,1.82,55
417,The Headhunter's Calling,Drama,"A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room, battles his top rival for control of their job placement company -- his dream of owning the company clashing with the needs of his family.",Mark Williams,"Alison Brie, Gerard Butler, Willem Dafoe, Gretchen Mol",2016,108,6.9,164,,85
418,Atonement,"Drama,Mystery,Romance","Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",Joe Wright,"Keira Knightley, James McAvoy, Brenda Blethyn,Saoirse Ronan",2007,123,7.8,202890,50.92,
419,Harry Potter and the Deathly Hallows: Part 1,"Adventure,Family,Fantasy","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy",2010,146,7.7,357213,294.98,65
420,Shame,Drama,A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.,Steve McQueen,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",2011,101,7.2,155010,4,72
421,Hanna,"Action,Drama,Thriller","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps",2011,111,6.8,164208,40.25,65
422,The Babysitters,Drama,A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.,David Ross,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",2007,88,5.7,8914,0.04,35
423,Pride and Prejudice and Zombies,"Action,Horror,Romance",Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,Burr Steers,"Lily James, Sam Riley, Jack Huston, Bella Heathcote",2016,108,5.8,35003,10.91,45
424,300: Rise of an Empire,"Action,Drama,Fantasy","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",2014,102,6.2,237887,106.37,48
425,London Has Fallen,"Action,Crime,Drama","In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",2016,99,,100702,62.4,28
426,The Curious Case of Benjamin Button,"Drama,Fantasy,Romance","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",2008,166,7.8,485075,127.49,70
427,Sin City: A Dame to Kill For,"Action,Crime,Thriller",Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,Frank Miller,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",2014,102,6.5,122185,13.75,46
428,The Bourne Ultimatum,"Action,Mystery,Thriller",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",2007,115,8.1,525700,227.14,85
429,Srpski film,"Horror,Mystery,Thriller","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film.",Srdjan Spasojevic,"Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic",2010,104,5.2,43648,,55
430,The Purge: Election Year,"Action,Horror,Sci-Fi","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria",2016,109,6,54216,79,
431,3 Idiots,"Comedy,Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",2009,170,8.4,238789,6.52,67
432,Zoolander 2,Comedy,"Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.",Ben Stiller,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell",2016,102,4.7,48297,28.84,34
433,World War Z,"Action,Adventure,Horror","Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.",Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",2013,116,7,494819,202.35,63
434,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",2011,132,,382459,209.36,73
435,Let Me Make You a Martyr,"Action,Crime,Drama","A cerebral revenge film about two adopted siblings who fall in love, and hatch a plan to kill their abusive father.",Corey Asraf,"Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera",2016,102,6.4,223,,56
436,Filth,"Comedy,Crime,Drama","A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own borderline-fueled inner demons.",Jon S. Baird,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots",2013,97,7.1,81301,0.03,
437,The Longest Ride,"Drama,Romance","The lives of a young couple intertwine with a much older man, as he reflects back on a past love.",George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",2015,123,7.1,58421,37.43,33
438,The imposible,"Drama,Thriller",The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",2012,114,7.6,156189,19,73
439,Kick-Ass 2,"Action,Comedy,Crime","Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But the Red Mist leads his own group of evil supervillains to kill Kick-Ass and destroy everything for which he stands.",Jeff Wadlow,"Aaron Taylor-Johnson, Chloë Grace Moretz,Christopher Mintz-Plasse, Jim Carrey",2013,103,6.6,214825,28.75,41
440,Folk Hero & Funny Guy,Comedy,A successful singer-songwriter hatches a plan to help his friend's struggling comedy career and broken love life by hiring him as his opening act on his solo tour.,Jeff Grace,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey",2016,88,5.6,220,,63
441,Oz the Great and Powerful,"Adventure,Family,Fantasy","A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.",Sam Raimi,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",2013,130,6.3,181521,234.9,44
442,Brooklyn,"Drama,Romance","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent",2015,117,7.5,94977,38.32,87
443,Coraline,"Animation,Family,Fantasy","An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders",2009,100,7.7,156620,75.28,80
444,Blue Valentine,"Drama,Romance","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka",2010,112,7.4,151409,9.7,81
445,The Thinning,Thriller,"""The Thinning"" takes place in a post-apocalyptic future where population control is dictated by a high-school aptitude test. When two students (Logan Paul and Peyton List) discover the test... See full summary »",Michael J. Gallagher,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy",2016,81,6,4531,,31
446,Silent Hill,"Adventure,Horror,Mystery","A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",Christophe Gans,"Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger",2006,125,6.6,184152,46.98,
447,Dredd,"Action,Sci-Fi","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",2012,95,7.1,213764,13.4,59
448,Hunt for the Wilderpeople,"Adventure,Comedy,Drama",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",2016,101,7.9,52331,5.2,81
449,Big Hero 6,"Animation,Action,Adventure","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",Don Hall,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller",2014,102,7.8,309186,222.49,74
450,Carrie,"Drama,Horror","A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",Kimberly Peirce,"Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday",2013,100,5.9,113272,35.27,53
451,Iron Man 2,"Action,Adventure,Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle",2010,124,7,556666,312.06,57
452,Demolition,"Comedy,Drama","A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",Jean-Marc Vallée,"Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis",2015,101,7,58720,1.82,49
453,Pandorum,"Action,Horror,Mystery",A pair of crew members aboard a spaceship wake up with no knowledge of their mission or their identities.,Christian Alvart,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",2009,108,6.8,126656,10.33,28
454,Olympus Has Fallen,"Action,Thriller","Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",2013,119,6.5,214994,98.9,41
455,I Am Number Four,"Action,Adventure,Sci-Fi","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer",2011,109,6.1,202682,55.09,36
456,Jagten,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",2012,115,8.3,192263,0.61,76
457,The Proposal,"Comedy,Drama,Romance",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,Anne Fletcher,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson",2009,108,6.7,241709,163.95,48
458,Get Hard,"Comedy,Crime","When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",Etan Cohen,"Will Ferrell, Kevin Hart, Alison Brie, T.I.",2015,100,6,95119,90.35,34
459,Just Go with It,"Comedy,Romance","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman",2011,117,6.4,182069,103.03,33
460,Revolutionary Road,"Drama,Romance",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie",2008,119,7.3,159736,22.88,69
461,The Town,"Crime,Drama,Thriller","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down.",Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",2010,125,7.6,294553,92.17,74
462,The Boy,"Horror,Mystery,Thriller","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",2016,97,6,51235,35.79,42
463,Denial,"Biography,Drama","Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.",Mick Jackson,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott",2016,109,6.6,8229,4.07,63
464,Predestination,"Drama,Mystery,Sci-Fi","For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",Michael Spierig,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West",2014,97,7.5,187760,,69
465,Goosebumps,"Adventure,Comedy,Family","A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",2015,103,6.3,57602,80.02,60
466,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.",Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",2011,129,7.5,357436,186.83,48
467,Salt,"Action,Crime,Mystery",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",2010,100,6.4,255813,118.31,65
